mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death,
Na'im ibn Musa,['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Timothy Augustine Coghlan,['statistician'],['Australia'],Sydney,4/30/1926,NULL,NULL,['Greater London'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Knight Commander of the Order of St Michael and St George'],NULL,['human'],['male'],FALSE,9,June,1856,FALSE,30,April,1926,
Dan Abramovich,"['mathematician', 'university teacher']",['Israel'],Haifa,NULL,NULL,NULL,NULL,['American Mathematical Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],TRUE,NULL,NULL,1900,FALSE,NULL,NULL,NULL,
John Fitch (computer scientist),"['computer scientist', 'engineer', 'mathematician']",['United Kingdom'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1945,FALSE,NULL,NULL,NULL,
Kenji Fukaya,['mathematician'],['Japan'],Kanagawa Prefecture,NULL,['University of Tokyo'],['Kyoto University'],NULL,['Japan Academy'],['Kyoto University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,12,March,1959,FALSE,NULL,NULL,NULL,
Joseph Winlock,"['astronomer', 'mathematician']",['United States of America'],Shelby County,11 June 1875,NULL,['Harvard University'],NULL,"['National Academy of Sciences', 'American Academy of Arts and Sciences']",['Harvard University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,6,February,1826,FALSE,11,June,1875,
George Frederick James Temple,"['mathematician', 'physicist', 'historian of mathematics']",['United Kingdom'],London,30-Jan-92,NULL,"['Imperial College London', ""King's College London""]",['Quarr Abbey'],['Royal Society'],"['Imperial College London', ""King's College London""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,2,December,1901,FALSE,30,January,1992,
William Marrat,['mathematician'],NULL,NULL,1852,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1772,FALSE,NULL,NULL,1852,
Azriel Lévy,['mathematician'],['Israel'],Haifa,NULL,['Hebrew University of Jerusalem'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['set theory'],NULL,['3±0'],"['human', 'emeritus']",['male'],FALSE,NULL,NULL,1934,FALSE,NULL,NULL,NULL,
Shaun Wylie,"['mathematician', 'topologist']",['United Kingdom'],Oxford,2-Oct-09,"['Princeton University', 'Dragon School', 'Winchester College', 'New College']",NULL,NULL,NULL,NULL,['Solomon Lefschetz'],NULL,NULL,NULL,NULL,NULL,['topology'],NULL,NULL,['human'],['male'],FALSE,17,January,1913,FALSE,2,October,2009,
Seymour Geisser,['statistician'],['United States of America'],New York City,3/11/2004,['University of North Carolina at Chapel Hill'],NULL,['Saint Paul'],NULL,NULL,['Harold Hotelling'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,5,October,1929,FALSE,11,March,2004,
Craig L. Russell,['mathematician'],['United States of America'],NULL,NULL,['Harvard University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,6,January,1949,FALSE,NULL,NULL,NULL,
Michael S. Longuet-Higgins,['mathematician'],['United Kingdom'],Lenham,26-Feb-16,NULL,NULL,['Cambridge'],"['Royal Society', 'National Academy of Sciences']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,NULL,NULL,1925,FALSE,26,February,2016,
Greg Kuperberg,"['mathematician', 'topologist']","['United States of America', 'Poland']",Gdańsk,NULL,"['Harvard University', 'University of California, Berkeley']","['University of California, Davis']",NULL,['American Mathematical Society'],"['University of California, Davis']",['Andrew Casson'],NULL,NULL,NULL,NULL,NULL,['topology'],NULL,['2±0'],['human'],['male'],FALSE,4,July,1967,FALSE,NULL,NULL,NULL,
Nathan Mendelsohn,['mathematician'],['Canada'],Brooklyn,4-Jul-06,['University of Toronto'],NULL,['Toronto'],['Royal Society of Canada'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Member of the Order of Canada', 'Henry Marshall Tory Medal', '1979']",NULL,['human'],['male'],FALSE,14,April,1917,FALSE,4,July,2006,
Vittorio Grünwald,['mathematician'],NULL,Verona,3/1/1943,NULL,NULL,['Florence'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,13,June,1855,FALSE,NULL,March,1943,
Robert Forsyth Scott,['mathematician'],NULL,NULL,18-Nov-33,"[""St John's College""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,28,July,1849,FALSE,18,November,1933,
Stefan Grigorievich Samko,[''],NULL,Rostov-on-Don,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,28,March,1941,FALSE,NULL,NULL,NULL,
Jianhong Wu,['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Pierre Rosenstiehl,['mathematician'],['France'],NULL,NULL,NULL,['School for Advanced Studies in the Social Sciences'],NULL,['Oulipo'],['School for Advanced Studies in the Social Sciences'],NULL,['French'],NULL,NULL,NULL,NULL,"['combinatorics', 'graph theory']",['Knight of the Legion of Honour'],['3±0'],['human'],['male'],FALSE,NULL,NULL,1933,FALSE,NULL,NULL,NULL,
John Raymond Wilton,['mathematician'],NULL,NULL,4/12/1944,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,2,May,1884,FALSE,12,April,1944,
Robert Smith (mathematician),"['mathematician', 'musicologist', 'music theorist']",['United Kingdom'],NULL,2 February 1768,NULL,NULL,['Cambridge'],['Royal Society'],NULL,['Roger Cotes'],['English'],NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,16,October,1689,FALSE,2,February,1768,
Micaiah John Muller Hill,['mathematician'],NULL,Berhampur,1929,"['Peterhouse', 'University College London']",['University College London'],NULL,['Royal Society'],['University College London'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,NULL,NULL,1856,FALSE,NULL,NULL,1929,
Robert William Genese,['mathematician'],NULL,Dublin,1928,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1848,FALSE,NULL,NULL,1928,
Harry Lindgren,"['mathematician', 'linguist']",['Australia'],NULL,1992,NULL,NULL,NULL,NULL,NULL,NULL,['English'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1912,FALSE,NULL,NULL,1992,
Imre Z. Ruzsa,['mathematician'],['Hungary'],Budapest,NULL,NULL,NULL,NULL,"['American Mathematical Society', 'Hungarian Academy of Sciences']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,['number theory'],NULL,['1±0'],['human'],['male'],FALSE,23,July,1953,FALSE,NULL,NULL,NULL,
Al-Nayrizi,"['mathematician', 'astronomer', 'astrologer']",['Iran'],Neyriz,922,NULL,['House of Wisdom'],NULL,NULL,['House of Wisdom'],NULL,['Arabic'],NULL,NULL,NULL,NULL,['mathematics'],NULL,NULL,['human'],['male'],FALSE,NULL,NULL,865,FALSE,NULL,NULL,922,
Irene M. Gamba,"['mathematician', 'professor']","['United States of America', 'Argentina']",NULL,NULL,"['University of Buenos Aires', 'University of Chicago']",NULL,NULL,"['Society for Industrial and Applied Mathematics', '2012', 'American Mathematical Society', '2013', 'Japan Society for the Promotion of Science', '2013']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['3±0'],['human'],['female'],FALSE,NULL,NULL,1957,FALSE,NULL,NULL,NULL,
Rudolf E. Kálmán,"['mathematician', 'engineer', 'university teacher']",['United States of America'],"Budapest, Hungary",2-Jul-16,"['Columbia University', 'Massachusetts Institute of Technology', 'Columbia School of Engineering and Applied Science']","['Stanford University', 'University of Florida']",['Gainesville'],"['French Academy of Sciences', 'American Mathematical Society', 'National Academy of Sciences', 'Hungarian Academy of Sciences', 'Russian Academy of Sciences', 'American Academy of Arts and Sciences', 'National Academy of Engineering']","['Stanford University', 'University of Florida']",['John R. Ragazzini'],NULL,NULL,NULL,NULL,NULL,['control theory'],"['IEEE Centennial Medal', 'IEEE Medal of Honor', '1974', 'National Medal of Science', '2008', 'Charles Stark Draper Prize', '2008', 'Kyoto Prize in Advanced Technology', '1985']",['3±0'],['human'],['male'],FALSE,19,May,1930,FALSE,2,July,2016,
Ernst Christian Julius Schering,"['mathematician', 'historian of mathematics']",['Germany'],Bleckede,2 November 1897,NULL,NULL,['Göttingen'],"['Göttingen Academy of Sciences', 'Prussian Academy of Sciences']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,31,May,1824,FALSE,2,November,1897,
Hiroshi Saito (mathematician),['mathematician'],NULL,NULL,2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,2010,
Giacomo Albanese,"['mathematician', 'university teacher']","['Italy', 'Brazil']",Geraci Siculo,8-Jun-47,NULL,['University of São Paulo'],['São Paulo'],NULL,['University of São Paulo'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,11,July,1890,FALSE,8,June,1947,
Richard E. Bellman,"['mathematician', 'university teacher', 'computer scientist']",['United States of America'],New York City,19-Mar-84,"['Princeton University', 'University of Wisconsin–Madison', 'Brooklyn College']",['University of Southern California'],['Los Angeles'],['American Academy of Arts and Sciences'],['University of Southern California'],['Solomon Lefschetz'],['English'],NULL,NULL,NULL,NULL,NULL,"['John von Neumann Theory Prize', '1976', 'IEEE Medal of Honor', '1979']",['2±0'],['human'],['male'],FALSE,26,August,1920,FALSE,19,March,1984,
Mark Pollicott,['mathematician'],['United Kingdom'],Nottingham,NULL,['University of Warwick'],"['University of Warwick', 'University of Manchester']",NULL,NULL,"['University of Warwick', 'University of Manchester']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,24,September,1959,FALSE,NULL,NULL,NULL,
Jakob Nielsen (mathematician),"['mathematician', 'university teacher']",['Denmark'],Nordslesvig,3-Aug-59,NULL,['University of Copenhagen'],['Helsingør'],['Royal Danish Academy of Sciences and Letters'],['University of Copenhagen'],NULL,['Danish'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,15,October,1890,FALSE,3,August,1959,
Gregorio Ricci-Curbastro,['mathematician'],['Kingdom of Italy'],Lugo,6-Aug-25,NULL,NULL,['Bologna'],"['Lincean Academy', 'Academy of Sciences of Turin']",NULL,['Ulisse Dini'],['Italian'],NULL,NULL,NULL,NULL,['differential geometry'],NULL,NULL,['human'],['male'],FALSE,12,January,1853,FALSE,6,August,1925,
Mikhail Postnikov,"['mathematician', 'topologist', 'university teacher']","['Soviet Union', 'Russia']",Shatura,27-May-04,['Moscow State University'],['Steklov Institute of Mathematics'],['Moscow'],NULL,['Steklov Institute of Mathematics'],['Lev Pontryagin'],['Russian'],['Doctor of Sciences in Physics and Mathematics'],NULL,NULL,NULL,"['topology', 'mathematical analysis', 'algebraic topology', 'differential topology']",['Lenin Prize'],NULL,['human'],['male'],FALSE,27,October,1927,FALSE,27,May,2004,
David Gauld (mathematician),['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Alessandro Marchetti (mathematician),"['mathematician', 'writer']",NULL,Empoli,6 September 1714,NULL,NULL,['Pisa'],NULL,NULL,NULL,['Italian'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,17,March,1633,FALSE,6,September,1714,
Keith Devlin,"['mathematician', 'university teacher', 'journalist']","['United Kingdom', 'United States of America']",Kingston upon Hull,NULL,"[""King's College London"", '1964', '1968', 'Bachelor of Science', 'University of Bristol', '1968', '1971', 'Doctor of Philosophy']",NULL,NULL,['American Mathematical Society'],NULL,['Frederick Rowbottom'],['English'],NULL,NULL,NULL,NULL,['set theory'],NULL,['2±0'],['human'],['male'],FALSE,16,March,1947,FALSE,NULL,NULL,NULL,
David Makinson,"['mathematician', 'philosopher']",['Australia'],NULL,NULL,NULL,"[""King's College London""]",NULL,NULL,"[""King's College London""]",NULL,['English'],NULL,NULL,NULL,NULL,NULL,NULL,['3±0'],['human'],['male'],FALSE,27,August,1941,FALSE,NULL,NULL,NULL,
John Crank,"['mathematician', 'university teacher']",['United Kingdom'],Lancashire,3-Oct-06,['University of Manchester'],NULL,NULL,NULL,NULL,['William Lawrence Bragg'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,6,February,1916,FALSE,3,October,2006,
Lynn Harold Loomis,"['mathematician', 'university teacher']",['United States of America'],NULL,9-Jun-94,['Harvard University'],['Harvard University'],NULL,['American Academy of Arts and Sciences'],['Harvard University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1915,FALSE,9,June,1994,
Koide Chōjūrō,['mathematician'],['Japan'],Tokushima,6 October 1865,NULL,['Tokushima Domain'],['Q11407466'],NULL,['Tokushima Domain'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,16,October,1797,FALSE,6,October,1865,
Wilfred Kaplan,['mathematician'],['United States of America'],Boston,12/26/2007,['Harvard University'],['University of Michigan'],['Ann Arbor'],NULL,['University of Michigan'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,28,November,1915,FALSE,26,December,2007,
Simion Stoilow,"['mathematician', 'diplomat', 'university teacher']",['Romania'],Bucharest,4-Apr-61,['University of Paris'],NULL,['Bucharest'],NULL,NULL,['Charles Émile Picard'],['Romanian'],['Doctor of Sciences in Physics and Mathematics'],NULL,['natural causes'],NULL,['mathematical analysis'],NULL,NULL,['human'],['male'],FALSE,14,September,1887,FALSE,4,April,1961,
Kirstine Smith,"['statistician', 'mathematician']",NULL,NULL,11-Nov-39,"['University College London', 'University of Copenhagen']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,12,April,1878,FALSE,11,November,1939,
James J. Stoker,"['mathematician', 'university teacher']",['United States of America'],Pittsburgh,19-Oct-92,['ETH Zurich'],['New York University'],['Greenwood Lake'],['American Academy of Arts and Sciences'],['New York University'],['Heinz Hopf'],NULL,NULL,['Louis Nirenberg'],NULL,NULL,NULL,"['John Simon Guggenheim Memorial Foundation Fellowship', 'Timoshenko Medal', '1970', 'Josiah Willard Gibbs Lectureship', '1961']",NULL,['human'],['male'],FALSE,2,March,1905,FALSE,19,October,1992,
Joseph A. Thas,['mathematician'],['Belgium'],Dilbeek,NULL,NULL,['Ghent University'],NULL,"['Royal Flemish Academy of Belgium for Science and the Arts', 'American Mathematical Society']",['Ghent University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Euler Medal', '1994']",NULL,['human'],['male'],TRUE,NULL,NULL,1900,FALSE,NULL,NULL,NULL,
Ralph Faudree,"['mathematician', 'university teacher']",['United States of America'],Durant,13-Jan-15,['Purdue University'],"['University of California, Berkeley', 'University of Memphis']",['Memphis'],NULL,"['University of California, Berkeley', 'University of Memphis']",NULL,NULL,NULL,NULL,NULL,NULL,"['combinatorics', 'graph theory', 'Ramsey theory']","['Euler Medal', '2005']",['1±0'],['human'],['male'],FALSE,23,August,1939,FALSE,13,January,2015,
Rudolf Fueter,"['mathematician', 'university teacher']",['Switzerland'],Basel,9-Aug-50,['University of Göttingen'],"['University of Basel', 'Karlsruhe Institute of Technology']",['Brunnen'],['German Academy of Sciences Leopoldina'],"['University of Basel', 'Karlsruhe Institute of Technology']",NULL,['German'],NULL,NULL,NULL,['President of the University of Zurich'],NULL,NULL,NULL,['human'],['male'],FALSE,30,June,1880,FALSE,9,August,1950,
Hipparchus,"['astronomer', 'mathematician']",NULL,Nicaea,120 BCE,NULL,NULL,['Rhodes'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,-190,FALSE,NULL,NULL,-120,
Hermann Bottenbruch,"['mathematician', 'computer scientist']",['Germany'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,14,September,1928,FALSE,NULL,NULL,NULL,
Tomasz Mrowka,"['mathematician', 'university teacher']",['United States of America'],State College,NULL,"['University of California, Berkeley']",NULL,NULL,"['National Academy of Sciences', 'American Academy of Arts and Sciences']",NULL,['Clifford Taubes'],NULL,NULL,NULL,NULL,NULL,NULL,"['John Simon Guggenheim Memorial Foundation Fellowship', 'Oswald Veblen Prize in Geometry', '2007']",NULL,['human'],['male'],FALSE,9,September,1961,FALSE,NULL,NULL,NULL,
Victor Pavlovich Maslov,"['mathematician', 'physicist', 'university teacher']","['Soviet Union', 'Russia']","Moscow, Russian Soviet Federative Socialist Republic, Soviet Union",NULL,['Moscow State University'],['Moscow State University'],NULL,"['Russian Academy of Sciences', 'Academy of Sciences of the USSR']",['Moscow State University'],['Sergei Fomin'],['Russian'],['Doctor of Sciences in Physics and Mathematics'],NULL,NULL,NULL,"['mathematical physics', 'theory of differential equations', 'functional analysis', 'mechanics']","['USSR State Prize', 'Lenin Prize', 'Demidov Prize', '2000']",NULL,['human'],['male'],FALSE,15,June,1930,FALSE,NULL,NULL,NULL,
Julius August Christoph Zech,"['mathematician', 'astronomer', 'university teacher']",NULL,Stuttgart,1864,NULL,NULL,['Stuttgart'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1821,FALSE,NULL,NULL,1864,
Witold Milewski (mathematician),"['mathematician', 'physicist']",NULL,NULL,1889,NULL,NULL,NULL,['Poznań Society of Friends of Learning'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1817,FALSE,NULL,NULL,1889,
Story Musgrave,"['astronaut', 'statistician', 'aviator', 'officer', 'chemist']",['United States of America'],Boston,NULL,"['Syracuse University', 'University of Kentucky', 'University of California, Los Angeles', ""St. Mark's School"", 'Columbia University College of Physicians and Surgeons']","['National Aeronautics and Space Administration', 'astronaut']",NULL,NULL,"['National Aeronautics and Space Administration', 'astronaut']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,19,August,1935,FALSE,NULL,NULL,NULL,
Jianqing Fan,"['mathematician', 'statistician']",NULL,Putian,NULL,"['Fudan University', 'University of California, Berkeley']","['Princeton University', 'University of California, Los Angeles', 'University of North Carolina at Chapel Hill']",NULL,['Academia Sinica'],"['Princeton University', 'University of California, Los Angeles', 'University of North Carolina at Chapel Hill']",['David Donoho'],NULL,NULL,NULL,NULL,NULL,NULL,['John Simon Guggenheim Memorial Foundation Fellowship'],NULL,['human'],['male'],FALSE,22,December,1962,FALSE,NULL,NULL,NULL,
Narsingh Deo,"['mathematician', 'computer scientist']",['India'],NULL,NULL,['Northwestern University'],['Indian Institute of Technology Kanpur'],NULL,NULL,['Indian Institute of Technology Kanpur'],NULL,NULL,NULL,NULL,NULL,NULL,['graph theory'],NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Johann Friedrich Hennert,"['mathematician', 'astronomer', 'university teacher']",['Germany'],Berlin,30 March 1813,NULL,NULL,['Utrecht'],NULL,NULL,['Leonhard Euler'],['German'],NULL,NULL,NULL,NULL,"['mathematical analysis', 'number theory']",NULL,NULL,['human'],['male'],FALSE,19,October,1733,FALSE,30,March,1813,
Alex Grossman,['physicist'],['France'],Zagreb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,5,August,1930,FALSE,NULL,NULL,NULL,
Celia Grillo Borromeo,"['salonnière', 'mathematician']",NULL,Genoa,23 August 1777,NULL,NULL,['Milan'],NULL,NULL,NULL,['Italian'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,NULL,NULL,1684,FALSE,23,August,1777,
Eduard Jan Dijksterhuis,"['historian', 'university teacher']",['Kingdom of the Netherlands'],Tilburg,18-May-65,NULL,"['Utrecht University', 'Leiden University', 'University of Amsterdam']",['De Bilt'],['Royal Netherlands Academy of Arts and Sciences'],"['Utrecht University', 'Leiden University', 'University of Amsterdam']",NULL,['Dutch'],NULL,NULL,['natural causes'],NULL,NULL,"['P. C. Hooft Award', '1951']",NULL,['human'],['male'],FALSE,28,October,1892,FALSE,18,May,1965,
Igor Shafarevich,"['mathematician', 'human rights activist', 'university teacher']","['Soviet Union', 'Russia']","Zhytomyr, Ukrainian Soviet Socialist Republic, Soviet Union",19-Feb-17,['Moscow State University'],"['Steklov Institute of Mathematics', '1946', 'Moscow State University', '1944']","['Moscow', 'Russia']","['Royal Society', 'German Academy of Sciences Leopoldina', 'Russian Academy of Sciences', 'Serbian Academy of Sciences and Arts', 'American Academy of Arts and Sciences']","['Steklov Institute of Mathematics', '1946', 'Moscow State University', '1944']",['Boris Delaunay'],['Russian'],['Doctor of Sciences in Physics and Mathematics'],"['Igor Dolgachev', 'Suren Arakelov']",NULL,NULL,"['algebraic geometry', 'number theory', 'Q3968', 'Galois theory']","['Lenin Prize', 'Dannie-Heineman-Preis', 'Q21660832', 'Q7704960', '2017']",['3±0'],['human'],['male'],FALSE,3,June,1923,FALSE,19,February,2017,
Paulo Pinheiro,"['computer scientist', 'mathematician']",['Brazil'],Rio de Janeiro,NULL,"['Stanford University', 'University of Manchester']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
John Edmund Kerrich,"['mathematician', 'statistician']",NULL,NULL,1985,"[""St John's College""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1908,FALSE,NULL,NULL,1985,
Solomon Gandz,['historian'],['Poland'],Tarnobrzeg,3/30/1954,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['John Simon Guggenheim Memorial Foundation Fellowship'],NULL,['human'],['male'],FALSE,2,February,1883,FALSE,30,March,1954,
Sir Frederick Eden, 2nd Baronet,"['economist', 'statistician']",['United Kingdom'],NULL,1809,['Christ Church'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1766,FALSE,NULL,NULL,1809
Martin Aigner,"['mathematician', 'university teacher']",['Austria'],Linz,NULL,['University of Vienna'],['Free University of Berlin'],NULL,"['Austrian Academy of Sciences', 'Prussian Academy of Sciences', 'Berlin-Brandenburg Academy of Sciences and Humanities']",['Free University of Berlin'],NULL,['German'],['doctoral degree'],NULL,NULL,NULL,"['combinatorics', 'graph theory']",NULL,['1±0'],['human'],['male'],FALSE,28,February,1942,FALSE,NULL,NULL,NULL,
Gui-Qiang Chen,"['mathematician', 'university teacher']",['United States of America'],Cixi City,NULL,['Fudan University'],NULL,NULL,['American Mathematical Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1963,FALSE,NULL,NULL,NULL,
Vincent Lafforgue,"['mathematician', 'university teacher']",['France'],Antony,NULL,"['University of Paris', 'Lycée Louis-le-Grand', 'École Normale Supérieure']",NULL,NULL,NULL,NULL,['Jean-Benoît Bost'],NULL,NULL,NULL,NULL,NULL,NULL,"['Q3405286', '2014']",NULL,['human'],['male'],FALSE,20,January,1974,FALSE,NULL,NULL,NULL,
Edward Brooks (educator),['mathematician'],NULL,Stony Point,6/29/1912,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,16,January,1831,FALSE,29,June,1912,
Alberto Pappiani,['mathematician'],NULL,NULL,1790,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1709,FALSE,NULL,NULL,1790,
David Singmaster,['mathematician'],['United States of America'],United States of America,NULL,['California Institute of Technology'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1939,FALSE,NULL,NULL,NULL,
Arnaldo Garcia,['mathematician'],NULL,NULL,NULL,['Instituto Nacional de Matemática Pura e Aplicada'],['Instituto Nacional de Matemática Pura e Aplicada'],NULL,['Brazilian Academy of Sciences'],['Instituto Nacional de Matemática Pura e Aplicada'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1950,FALSE,NULL,NULL,NULL,
Francis Dominic Murnaghan (mathematician),"['mathematician', 'university teacher']",['United States of America'],Omagh,24-Mar-76,['University College Dublin'],['Johns Hopkins University'],NULL,"['National Academy of Sciences', 'Royal Irish Academy', 'American Philosophical Society']",['Johns Hopkins University'],NULL,NULL,NULL,NULL,NULL,NULL,['group theory'],NULL,NULL,['human'],['male'],FALSE,4,August,1893,FALSE,24,March,1976,
Max Simon (mathematician),"['mathematician', 'historian of mathematics']",['Germany'],Kołobrzeg,15-Jan-18,NULL,NULL,['Strasbourg'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,8,June,1844,FALSE,15,January,1918,
Henri Skoda,['mathematician'],['France'],NULL,NULL,NULL,['University of Paris'],NULL,NULL,['University of Paris'],"['André Martineau', 'Pierre Lelong']",['French'],NULL,['Jean-Pierre Demailly'],NULL,NULL,NULL,"['Poncelet Prize', '1978']",NULL,['human'],['male'],FALSE,NULL,NULL,1945,FALSE,NULL,NULL,NULL,
Radha Laha,"['mathematician', 'statistician']",['India'],"Calcutta, Indiana",14-Jul-99,['University of Calcutta'],NULL,['Perrysburg'],NULL,NULL,['C. R. Rao'],NULL,NULL,NULL,NULL,NULL,['probability theory'],NULL,NULL,['human'],['male'],FALSE,1,October,1930,FALSE,14,July,1999,
